Date,yield_slope_10y_1y,yield_curvature,slope_ma30,curv_ma30
2025-02-12,1.048000,0.448000,,
2025-02-13,1.048000,0.448000,,
2025-02-14,1.048000,0.448000,,
2025-02-17,1.048000,0.448000,,
2025-02-18,1.048000,0.448000,1.048000,0.448000
2025-02-19,1.048000,0.448000,1.048000,0.448000
2025-02-20,1.048000,0.448000,1.048000,0.448000
2025-02-21,1.048000,0.448000,1.048000,0.448000
2025-02-24,,,1.048000,0.448000
2025-02-25,,,1.048000,0.448000
2025-02-26,,,1.048000,0.448000
2025-02-27,,,1.048000,0.448000
2025-02-28,,,1.048000,0.448000
2025-03-03,,,1.048000,0.448000
2025-03-04,,,1.048000,0.448000
2025-03-05,,,1.048000,0.448000
2025-03-06,,,1.048000,0.448000
2025-03-07,,,1.048000,0.448000
2025-03-10,,,1.048000,0.448000
2025-03-11,,,1.048000,0.448000
2025-03-12,0.953000,0.355000,1.037444,0.437667
2025-03-13,0.953000,0.355000,1.029000,0.429400
2025-03-14,0.953000,0.355000,1.022091,0.422636
2025-03-17,0.953000,0.355000,1.016333,0.417000
2025-03-18,0.953000,0.355000,1.011462,0.412231
2025-03-19,0.953000,0.355000,1.007286,0.408143
2025-03-20,0.953000,0.355000,1.003667,0.404600
2025-03-21,0.953000,0.355000,1.000500,0.401500
2025-03-24,,,1.000500,0.401500
2025-03-25,,,1.000500,0.401500
2025-03-26,,,0.997333,0.398400
2025-03-27,,,0.993714,0.394857
2025-03-28,,,0.989538,0.390769
2025-03-31,,,0.984667,0.386000
2025-04-01,,,0.978909,0.380364
2025-04-02,,,0.972000,0.373600
2025-04-03,,,0.963556,0.365333
2025-04-04,,,0.953000,0.355000
2025-04-07,,,0.953000,0.355000
2025-04-08,,,0.953000,0.355000
2025-04-09,,,0.953000,0.355000
2025-04-10,,,0.953000,0.355000
2025-04-11,,,0.953000,0.355000
2025-04-14,,,0.953000,0.355000
2025-04-15,,,0.953000,0.355000
2025-04-16,,,0.953000,0.355000
2025-04-17,,,0.953000,0.355000
2025-04-18,,,0.953000,0.355000
2025-04-21,,,0.953000,0.355000
2025-04-22,,,0.953000,0.355000
2025-04-23,,,0.953000,0.355000
2025-04-24,,,0.953000,0.355000
2025-04-25,,,0.953000,0.355000
2025-05-12,1.018000,0.388000,,
2025-05-13,1.018000,0.388000,,
2025-05-14,1.018000,0.388000,,
2025-05-15,1.018000,0.388000,,
2025-05-16,1.018000,0.388000,1.018000,0.388000
2025-05-19,1.018000,0.388000,1.018000,0.388000
2025-05-20,1.018000,0.388000,1.018000,0.388000
2025-05-21,1.018000,0.388000,1.018000,0.388000
2025-05-22,,,1.018000,0.388000
2025-05-23,,,1.018000,0.388000
2025-05-26,,,1.018000,0.388000
2025-05-27,,,1.018000,0.388000
2025-05-28,,,1.018000,0.388000
2025-05-29,,,1.018000,0.388000
2025-05-30,,,1.018000,0.388000
2025-06-02,,,1.018000,0.388000
2025-06-03,,,1.018000,0.388000
2025-06-04,,,1.018000,0.388000
2025-06-05,,,1.018000,0.388000
2025-06-06,,,1.018000,0.388000
2025-06-09,,,1.018000,0.388000
2025-06-10,,,1.018000,0.388000
2025-06-11,,,1.018000,0.388000
2025-06-12,,,1.018000,0.388000
2025-06-13,,,1.018000,0.388000
2025-06-16,,,1.018000,0.388000
2025-06-17,,,1.018000,0.388000
2025-06-18,,,1.018000,0.388000
2025-06-19,,,1.018000,0.388000
2025-06-20,,,1.018000,0.388000
2025-06-23,,,1.018000,0.388000
2025-06-24,,,1.018000,0.388000
2025-06-25,,,1.018000,0.388000
2025-08-12,1.050000,0.366000,,
2025-08-13,1.050000,0.366000,,
2025-08-14,1.050000,0.366000,,
2025-08-15,1.050000,0.366000,,
2025-08-18,1.050000,0.366000,1.050000,0.366000
2025-08-19,1.050000,0.366000,1.050000,0.366000
2025-08-20,1.050000,0.366000,1.050000,0.366000
2025-08-21,1.050000,0.366000,1.050000,0.366000
2025-08-22,,,1.050000,0.366000
2025-08-25,,,1.050000,0.366000
2025-08-26,,,1.050000,0.366000
2025-08-27,,,1.050000,0.366000
2025-08-28,,,1.050000,0.366000
2025-08-29,,,1.050000,0.366000
2025-09-01,,,1.050000,0.366000
2025-09-02,,,1.050000,0.366000
2025-09-03,,,1.050000,0.366000
2025-09-04,,,1.050000,0.366000
2025-09-05,,,1.050000,0.366000
2025-09-08,,,1.050000,0.366000
2025-09-09,,,1.050000,0.366000
2025-09-10,,,1.050000,0.366000
2025-09-11,,,1.050000,0.366000
2025-09-12,1.103000,0.417000,1.055889,0.371667
2025-09-15,1.103000,0.417000,1.060600,0.376200
2025-09-16,1.103000,0.417000,1.064455,0.379909
2025-09-17,1.103000,0.417000,1.067667,0.383000
2025-09-18,1.103000,0.417000,1.070385,0.385615
2025-09-19,1.103000,0.417000,1.072714,0.387857
2025-09-22,1.103000,0.417000,1.074733,0.389800
2025-09-23,1.103000,0.417000,1.078267,0.393200
2025-09-24,,,1.080286,0.395143
2025-09-25,,,1.082615,0.397385
2025-09-26,,,1.085333,0.400000
2025-09-29,,,1.088545,0.403091
2025-09-30,,,1.092400,0.406800
2025-10-01,,,1.097111,0.411333
2025-10-02,,,1.103000,0.417000
2025-10-03,,,1.103000,0.417000
2025-10-06,,,1.103000,0.417000
2025-10-07,,,1.103000,0.417000
2025-10-08,,,1.103000,0.417000
2025-10-09,,,1.103000,0.417000
2025-10-10,,,1.103000,0.417000
2025-10-13,,,1.103000,0.417000
2025-10-14,,,1.103000,0.417000
2025-10-15,,,1.103000,0.417000
2025-10-16,,,1.103000,0.417000
2025-10-17,,,1.103000,0.417000
2025-10-20,,,1.103000,0.417000
2025-10-21,,,1.103000,0.417000
2025-10-22,,,1.103000,0.417000
2025-10-23,,,1.103000,0.417000
2025-10-24,,,1.103000,0.417000
2025-10-27,,,1.103000,0.417000
2025-10-28,,,1.103000,0.417000
2025-11-11,0.995000,0.311000,,
2025-11-12,0.995000,0.311000,,
2025-11-13,0.995000,0.311000,,
2025-11-14,0.995000,0.311000,,
2025-11-17,0.995000,0.311000,0.995000,0.311000
2025-11-18,0.995000,0.311000,0.995000,0.311000
2025-11-19,0.995000,0.311000,0.995000,0.311000
2025-11-20,0.995000,0.311000,0.995000,0.311000
2025-11-21,,,0.995000,0.311000
2025-11-24,,,0.995000,0.311000
2025-11-25,,,0.995000,0.311000
2025-11-26,,,0.995000,0.311000
2025-11-27,,,0.995000,0.311000
2025-11-28,,,0.995000,0.311000
2025-12-01,,,0.995000,0.311000
2025-12-02,,,0.995000,0.311000
2025-12-03,,,0.995000,0.311000
2025-12-04,,,0.995000,0.311000
2025-12-05,,,0.995000,0.311000
2025-12-08,,,0.995000,0.311000
2025-12-09,,,0.995000,0.311000
2025-12-10,,,0.995000,0.311000
2025-12-11,0.940000,0.298000,0.988889,0.309556
